SE2321000016-G08F;ABC Barnmottagning
SE2321000016-7KW6;STSAB - Barnmorska gyn
SE2321000016-1T4C;STSAB - BB avd 14
SE2321000016-119B;STSAB - Gyn mott
SE2321000016-1199;STSAB - Gyn Nynäshamn
SE2321000016-7KP0;STSAB - IMO Gynekologi
SE2321000016-16QX;STSAB - Kirurg-gyn avd 18
SE2321000016-119H;STSAB - Kvinnoklin aurora
SE2321000016-1196;STSAB - SPEC-MVC
SE2321000016-119G;STSAB- Poliklin BB/Förloss
SE2321000016-119C;STSAB-Kvinnoklin uroterap
SE2321000016-G1F5;Aleris Ultragyn BMM Sabb
SE2321000016-G1F8;Aleris Ultragyn Gyn Sabb
SE2321000016-G1FH;Aleris Ultragyn UL PRIV
SE2321000016-G1FG;Aleris Ultragyn UL Sabb
SE2321000016-G6D6;Alva BUMM U-Väsby
SE2321000016-8RQN;ALVA BVC
SE2321000016-G117;ALVA BUMM Haga
SE2321000016-G10W;ALVA BUMM Sickla
SE2321000016-G10X;ALVA BUMM Sickla ADHD
SE2321000016-G10N;ALVA BUMM Söder
SE2321000016-CGG3;Alviks Barnklinik BUMM
SE2321000016-B1MX;Alviks Barnklinik - CS
SE2321000016-12Z3;Barnhälsan Kvarnen
SE2321000016-13Q6;Barnhälsan Näsby Park
SE2321000016-13PX;Barnhälsan i Täby
SE2321000016-13Q5;Barnhälsan Täby Kyrkby
SE2321000016-DGBJ;Barnkirurgen LH Odenplan
SE2321000016-G1X5;Barnläk Vallentuna BUMM
SE2321000016-G1X3;Barnläkarna Täby C BUMM
SE2321000016-119X;STSAB - Barnmottagningen
SE2321000016-9JFZ;STSAB - NPU Psykologstöd
SE2321000016-8VJS;Barnort Centrum & Vuxen
SE2321000016-71ZZ;Barnsjg Christina Orefelt
SE2321000016-DMMD;Barnsjukgymn i Norrtälje
SE2321000016-DRNJ;Barnspectandvård Kronan
SE2321000016-9MPP;BB Sthlm Family City
SE2321000016-1085;BB Sthlm Family Ekerö
SE2321000016-107X;BB Sthlm Family Ekerö UM
SE2321000016-4JBK;BB Sthlm Family Kungsholm
SE2321000016-DTWF;BB Stockholm slutenvård
SE2321000016-DLK2;BB Stockholm mottagning
SE2321000016-DVW4;BBS Amningsmott K-Holm
SE2321000016-64V3;BBS Family BVC Kungsholm
SE2321000016-FDDJ;BBS Family Sickla
SE2321000016-G14K;Barnspec Sollentuna BUM
SE2321000016-G05Z;Barnspecialisterna Solna
SE2321000016-G08L;BUMM Capio Zinken
SE2321000016-G13Z;BUMM Martina Sophia
SE2321000016-52BG;BVC Knoppen
SE2321000016-C5RD;BVC Barnsjh Martina
SE2321000016-3LLV;BVC Matteus
SE2321000016-13RK;BVC Rimbo-Edsbro
SE2321000016-FDN4;BVC Sigtuna Vårdcentral
SE2321000016-13T5;BVC Sju Systrar
SE2321000016-CXP9;Capio Blackeberg BHV
SE2321000016-D2C4;Capio Blackeberg BMM
SE2321000016-9RM0;Capio Gynekologi Globen
SE2321000016-CP4L;Capio Gynekologi Solna
SE2321000016-CXNW;Capio Nynäshamn BHV
SE2321000016-CXNX;Capio Nynäshamn BMM
SE2321000016-51S5;Capio Rågsved BMM
SE2321000016-CXP4;Capio Sorunda BHV
SE2321000016-FL7G;Capio Tyresö Strand BHV
SE2321000016-9LZ4;Capio Väsby Gynekologi
SE2321000016-4SXR;Capio Wasa BMM
SE2321000016-CXPM;Capio Åkermyntan BHV
SE2321000016-CXPL;Capio Åkermyntan BMM
SE2321000016-F5ZF;Capio Årsta BMM
SE2321000016-CXP5;Capio Ösmo BHV
SE2321000016-10GB;Capio Bagarmossen BHV
SE2321000016-130M;Capio Bro BHV
SE2321000016-15T4;Capio Farsta BHV
SE2321000016-4ST7;Capio Gullmarsplan BHV
SE2321000016-502N;Capio Rågsved BHV
SE2321000016-14CL;Capio Skogås BHV
SE2321000016-11G6;Capio Wasa BHV
SE2321000016-4Z16;Capio Årsta BHV
SE2321000016-15TB;Capio Hammarbyhöjd BHV
SE2321000016-CDWG;Considra BMM Södermalm
SE2321000016-D1BV;Considra Gyn Nacka
SE2321000016-FS1F;Considra Gyn Norrmalm
SE2321000016-CDWL;Considra Gyn Södermalm
SE2321000016-FS26;Considra Gyn Östermalm
SE2321000016-CDWM;Considra ÖNH Södermalm
SE2321000016-67LH;Din Doktor i Märsta BVC
SE2321000016-F31K;Djurgården Martina BVC
SE2321000016-BJSL;Carsjö Gynekologi
SE2321000016-3S7L;DS Akutmott Gyn
SE2321000016-1K50;DS BB avd 16
SE2321000016-2B52;DS BB avd 17
SE2321000016-1K52;DS Förlossning
SE2321000016-6KX0;DS Gyn Bäckenbottencentr
SE2321000016-1K54;DS Gynekologi avd 14
SE2321000016-1K56;DS Gynmott
SE2321000016-1K51;DS Kvk Hotell BB
SE2321000016-363Z;DS Kvinnoklin Forskning
SE2321000016-1K5B;DS KK-op
SE2321000016-9KJ3;DS Obstetrik Auroramott
SE2321000016-9KJ4;DS Specialist MVC
SE2321000016-G18L;DS KK Abortmottagning*
SE2321000016-1K57;DS KK Kuratorsenheten*
SE2321000016-1307;Edsbergs BVC
SE2321000016-FNBW;Meja Kvinnohälsa - Elin E
SE2321000016-DSKB;Eliva Clinic
SE2321000016-C87X;BVC Flottiljen Famläk
SE2321000016-6GQN;Fam Läk Gynekologmottagn
SE2321000016-60SH;Familjeläkarna Husby BVC
SE2321000016-4J48;Fam läk Saltsjöbaden BVC
SE2321000016-BG7F;Fam läk Tungelsta BVC
SE2321000016-14XX;Fam läk Vaxholm BVC
SE2321000016-108M;Fam-läkargrp Odenpl BVC
SE2321000016-F44C;Farsta gynmottagning
SE2321000016-CKMG;Farsta Ortoped och Kirurg
SE2321000016-16NS;Fruängens BVC
SE2321000016-FZ0J;Barnort C GHP OC City
SE2321000016-FD2T;Gyn Care i Sigtuna
SE2321000016-68J7;Innerstadsgynekologen
SE165567766992-1DL4;Gyn o fert mott Visby
SE2321000016-8QMC;GynStockholm Läkarvillan
SE2321000016-BK8B;Gynmottagning Odenplan
SE2321000016-DBFP;GynSthlm Stadshagsg.
SE2321000016-16G4;GynStockholm Operation
SE2321000016-7G0W;Hammarby Sjöstads MVC
SE2321000016-DSST;Hedda BMM
SE2321000016-FHJ3;Hedda BMM City
SE2321000016-DSML;Hedda BVC
SE2321000016-G43B;Hedda BVC City
SE2321000016-F3BJ;Hedda Ultraljudsmott
SE2321000016-FDVR;HHL gynekologmottagning
SE2321000016-96WP;Hornstulls Gynmottagning
SE2321000016-F1TF;Huddinge Gynmottagning
SE2321000016-D1M6;Husläk Rimbo-Edsbro MVC
SE2321000016-G1MB;Högdalen BUMM
SE2321000016-G064;Idun Kungsholmen BUMM
SE2321000016-CH6D;IVFgruppenSophiahemmet
SE2321000016-G0TH;BUMM Järva Martina
SE2321000016-CT4P;DS Neo BB avdelning
SE2321000016-CT4N;DS Neo Hemsjukvård Avd
SE2321000016-CT4L;DS Neonatal mottagning
SE2321000016-CT4S;DS Neonatal 1 avdelning
SE2321000016-CT4R;DS Neonatal 2 avdelning
SE2321000016-CT6X;H Barn neurologi Mott
SE2321000016-CT6K;H Barn Akutmottagning
SE2321000016-CT5J;H Barn Akutvård 1 Avd
SE2321000016-C48F;H Barn Övervakning Avd
SE2321000016-CX9R;H Barn Akutvård Mott
SE2321000016-CT5W;H Barn Anestesi Avd
SE2321000016-CT74;H Barn Anestesi Mott
SE2321000016-CT6P;H Barn Diabetes Mott
SE2321000016-CT6S;H Barn Gastro Mott
SE2321000016-CTRN;H Barn Hematologi
SE2321000016-CT5M;H Barn Hemsjukvård Avd
SE2321000016-CT6V;H Barn Hjärta Mott
SE2321000016-CT71;H Barn Lekotek Mott
SE2321000016-CT72;H Barn Lekterapi Mott
SE2321000016-CT6N;H Barn Lung allergi Mott
SE2321000016-CT6W;H Barn Njurmedicin
SE2321000016-CT5X;H Barn Operation Avd
SE2321000016-FGLV;H Barn Preop uppvak Avd
SE2321000016-CT6M;H Barn Psykisk hälsa Mott
SE2321000016-CT5H;H Barn Regionsjv Avd
SE2321000016-CT6Z;H Barn Smärtbeh Mott
SE2321000016-CT70;H Barn Tuberkulos Mott
SE2321000016-CT75;H Forskn Barn Endokrin
SE2321000016-CT5P;H Neo BB avdelning
SE2321000016-CT5Q;H Neo Hemsjukvård Avd
